09:36:00.386 [main] INFO  base.TestBase - Exception occured: org.openqa.selenium.NoSuchElementException: no such element: Unable to locate element: {"method":"link text","selector":"Sign out"}
  (Session info: chrome=96.0.4664.110)
For documentation on this error, please visit: https://www.seleniumhq.org/exceptions/no_such_element.html
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'DESKTOP-8IO9O82', ip: '192.168.43.183', os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '15.0.2'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 96.0.4664.110, chrome: {chromedriverVersion: 96.0.4664.45 (76e4c1bb2ab46..., userDataDir: C:\Users\santo\AppData\Loca...}, goog:chromeOptions: {debuggerAddress: localhost:63741}, javascriptEnabled: true, networkConnectionEnabled: false, pageLoadStrategy: normal, platform: WINDOWS, platformName: WINDOWS, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:virtualAuthenticators: true}
Session ID: 23ee607b3b588cfc5b4a1fd9aa8efa39
*** Element info: {Using=link text, value=Sign out}
09:37:54.260 [main] INFO  base.TestBase - Trying to find Element By : By.linkText: Sign in
09:37:54.299 [main] INFO  base.TestBase - Found Element By : By.linkText: Sign in
09:37:54.305 [main] INFO  base.TestBase - Trying to click on: [[ChromeDriver: chrome on WINDOWS (d85917d2773e1f21f35552ece042d144)] -> link text: Sign in]
09:37:57.961 [main] INFO  base.TestBase - Clicked on: [[ChromeDriver: chrome on WINDOWS (d85917d2773e1f21f35552ece042d144)] -> link text: Sign in]
09:37:57.962 [main] INFO  base.TestBase - Trying to find Element By : By.xpath: //input[@id='email']
09:37:57.985 [main] INFO  base.TestBase - Found Element By : By.xpath: //input[@id='email']
09:37:58.078 [main] INFO  base.TestBase - Trying to find Element By : By.xpath: //input[@id='passwd']
09:37:58.095 [main] INFO  base.TestBase - Found Element By : By.xpath: //input[@id='passwd']
09:37:58.171 [main] INFO  base.TestBase - Trying to find Element By : By.name: SubmitLogin
09:37:58.187 [main] INFO  base.TestBase - Found Element By : By.name: SubmitLogin
09:37:58.187 [main] INFO  base.TestBase - Trying to click on: [[ChromeDriver: chrome on WINDOWS (d85917d2773e1f21f35552ece042d144)] -> name: SubmitLogin]
09:38:01.286 [main] INFO  base.TestBase - Clicked on: [[ChromeDriver: chrome on WINDOWS (d85917d2773e1f21f35552ece042d144)] -> name: SubmitLogin]
09:38:01.289 [main] INFO  base.TestBase - Trying to find Element By : By.linkText: Sign out
09:38:01.315 [main] INFO  base.TestBase - Found Element By : By.linkText: Sign out
09:38:16.458 [main] INFO  base.TestBase - Trying to find Element By : By.linkText: Sign in
09:38:16.490 [main] INFO  base.TestBase - Found Element By : By.linkText: Sign in
09:38:16.490 [main] INFO  base.TestBase - Trying to click on: [[ChromeDriver: chrome on WINDOWS (ee0ce6b98f4f15839d47bf3f51232fff)] -> link text: Sign in]
09:38:23.235 [main] INFO  base.TestBase - Clicked on: [[ChromeDriver: chrome on WINDOWS (ee0ce6b98f4f15839d47bf3f51232fff)] -> link text: Sign in]
09:38:23.238 [main] INFO  base.TestBase - Trying to find Element By : By.xpath: //input[@id='email']
09:38:23.262 [main] INFO  base.TestBase - Found Element By : By.xpath: //input[@id='email']
09:38:23.343 [main] INFO  base.TestBase - Trying to find Element By : By.xpath: //input[@id='passwd']
09:38:23.362 [main] INFO  base.TestBase - Found Element By : By.xpath: //input[@id='passwd']
09:38:23.448 [main] INFO  base.TestBase - Trying to find Element By : By.name: SubmitLogin
09:38:23.469 [main] INFO  base.TestBase - Found Element By : By.name: SubmitLogin
09:38:23.469 [main] INFO  base.TestBase - Trying to click on: [[ChromeDriver: chrome on WINDOWS (ee0ce6b98f4f15839d47bf3f51232fff)] -> name: SubmitLogin]
09:38:25.557 [main] INFO  base.TestBase - Clicked on: [[ChromeDriver: chrome on WINDOWS (ee0ce6b98f4f15839d47bf3f51232fff)] -> name: SubmitLogin]
09:38:25.557 [main] INFO  base.TestBase - Trying to find Element By : By.linkText: Sign out
09:38:35.649 [main] INFO  base.TestBase - Exception occured: org.openqa.selenium.NoSuchElementException: no such element: Unable to locate element: {"method":"link text","selector":"Sign out"}
  (Session info: chrome=96.0.4664.110)
For documentation on this error, please visit: https://www.seleniumhq.org/exceptions/no_such_element.html
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'DESKTOP-8IO9O82', ip: '192.168.43.183', os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '15.0.2'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 96.0.4664.110, chrome: {chromedriverVersion: 96.0.4664.45 (76e4c1bb2ab46..., userDataDir: C:\Users\santo\AppData\Loca...}, goog:chromeOptions: {debuggerAddress: localhost:63905}, javascriptEnabled: true, networkConnectionEnabled: false, pageLoadStrategy: normal, platform: WINDOWS, platformName: WINDOWS, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:virtualAuthenticators: true}
Session ID: ee0ce6b98f4f15839d47bf3f51232fff
*** Element info: {Using=link text, value=Sign out}
09:44:34.845 [main] INFO  base.TestBase - Trying to find Element By : By.linkText: Sign in
09:44:34.880 [main] INFO  base.TestBase - Found Element By : By.linkText: Sign in
09:44:34.884 [main] INFO  base.TestBase - Trying to click on: [[ChromeDriver: chrome on WINDOWS (5f32894976f64f114531eee5af5af1e5)] -> link text: Sign in]
09:44:40.154 [main] INFO  base.TestBase - Clicked on: [[ChromeDriver: chrome on WINDOWS (5f32894976f64f114531eee5af5af1e5)] -> link text: Sign in]
09:44:40.156 [main] INFO  base.TestBase - Trying to find Element By : By.xpath: //input[@id='email']
09:44:40.177 [main] INFO  base.TestBase - Found Element By : By.xpath: //input[@id='email']
09:44:40.265 [main] INFO  base.TestBase - Trying to find Element By : By.xpath: //input[@id='passwd']
09:44:40.284 [main] INFO  base.TestBase - Found Element By : By.xpath: //input[@id='passwd']
09:44:40.359 [main] INFO  base.TestBase - Trying to find Element By : By.name: SubmitLogin
09:44:40.377 [main] INFO  base.TestBase - Found Element By : By.name: SubmitLogin
09:44:40.377 [main] INFO  base.TestBase - Trying to click on: [[ChromeDriver: chrome on WINDOWS (5f32894976f64f114531eee5af5af1e5)] -> name: SubmitLogin]
